Theta,Phi
-19.304,-149.043
-19.255,-149.002
-19.207,-148.961
-19.158,-148.921
-19.109,-148.880
-19.060,-148.839
-19.012,-148.799
-18.963,-148.758
-18.865,-148.677
-18.816,-148.636
-18.768,-148.596
-18.719,-148.555
-18.670,-148.514
-18.621,-148.474
-18.572,-148.434
-18.523,-148.393
-18.474,-148.353
-18.426,-148.312
-18.328,-148.232
-18.279,-148.191
-18.230,-148.151
-18.181,-148.111
-18.132,-148.071
-18.083,-148.031
-18.034,-147.990
-17.985,-147.950
-17.936,-147.910
-17.838,-147.830
-17.789,-147.790
-17.740,-147.750
-17.691,-147.710
-17.642,-147.670
-17.593,-147.630
-17.544,-147.590
-17.495,-147.550
-17.446,-147.510
-17.396,-147.470
-17.298,-147.391
-17.249,-147.351
-17.200,-147.311
-17.151,-147.271
-17.102,-147.232
-17.053,-147.192
-17.003,-147.152
-16.954,-147.112
-16.905,-147.073
-16.856,-147.033
-16.757,-146.954
-16.708,-146.915
-16.659,-146.875
-16.609,-146.836
-16.560,-146.796
-16.511,-146.757
-16.462,-146.717
-16.412,-146.678
-16.363,-146.638
-16.314,-146.599
-16.215,-146.521
-16.166,-146.481
-16.116,-146.442
-16.067,-146.402
-16.018,-146.363
-15.968,-146.324
-15.919,-146.285
-15.869,-146.246
-15.820,-146.207
-15.721,-146.128
-15.672,-146.089
-15.622,-146.050
-15.573,-146.011
-15.524,-145.972
-15.474,-145.933
-15.425,-145.894
-15.375,-145.855
-15.326,-145.816
-15.276,-145.778
-15.177,-145.700
-15.128,-145.661
-15.078,-145.622
-15.029,-145.583
-14.979,-145.544
-14.929,-145.506
-14.880,-145.467
-14.830,-145.428
-14.781,-145.389
-14.731,-145.351
-14.632,-145.273
-14.582,-145.235
-14.533,-145.196
-14.483,-145.158
-14.434,-145.119
-14.384,-145.080
-14.334,-145.042
-14.285,-145.003
-14.235,-144.965
-14.185,-144.926
-14.086,-144.849
-14.036,-144.811
-13.986,-144.772
-13.937,-144.734
-13.887,-144.696
-13.837,-144.657
-13.788,-144.619
-13.738,-144.581
-13.688,-144.542
-13.589,-144.466
-13.539,-144.427
-13.489,-144.389
-13.439,-144.351
-13.389,-144.313
-13.340,-144.275
-13.290,-144.237
-13.240,-144.198
-13.190,-144.160
-13.141,-144.122
-13.041,-144.046
-12.991,-144.008
-12.941,-143.970
-12.891,-143.932
-12.841,-143.894
-12.791,-143.856
-12.742,-143.818
-12.692,-143.780
-12.642,-143.742
-12.592,-143.704
-12.492,-143.628
-12.442,-143.590
-12.392,-143.552
-12.342,-143.515
-12.292,-143.477
-12.242,-143.439
-12.142,-143.363
-12.093,-143.326
-12.042,-143.288
-11.992,-143.250
-11.942,-143.212
-11.892,-143.175
-11.843,-143.137
-11.792,-143.099
-11.742,-143.062
-11.692,-143.024
-11.593,-142.949
-11.542,-142.911
-11.492,-142.874
-11.442,-142.836
-11.392,-142.799
-11.342,-142.761
-11.292,-142.723
-11.242,-142.686
-11.192,-142.648
-11.142,-142.611
-11.042,-142.536
-10.992,-142.499
-10.942,-142.461
-10.891,-142.424
-10.841,-142.386
-10.791,-142.349
-10.741,-142.312
-10.691,-142.274
-10.641,-142.237
-10.591,-142.199
-10.490,-142.125
-10.440,-142.088
-10.390,-142.050
-10.340,-142.013
-10.290,-141.976
-10.239,-141.939
-10.189,-141.901
-10.139,-141.864
-10.089,-141.827
-10.039,-141.790
-9.938,-141.716
-9.888,-141.678
-9.838,-141.641
-9.788,-141.604
-9.737,-141.567
-9.687,-141.530
-9.637,-141.493
-9.587,-141.456
-9.536,-141.419
-9.486,-141.382
-9.386,-141.308
-9.335,-141.271
-9.285,-141.234
-9.235,-141.196
-9.184,-141.159
-9.134,-141.122
-9.084,-141.086
-9.034,-141.049
-8.983,-141.012
-8.882,-140.938
-8.832,-140.901
-8.782,-140.864
-8.732,-140.827
-8.681,-140.790
-8.631,-140.754
-8.581,-140.717
-8.530,-140.680
-8.480,-140.643
-8.429,-140.606
-8.329,-140.533
-8.278,-140.496
-8.228,-140.459
-8.178,-140.422
-8.127,-140.386
-8.077,-140.349
-8.026,-140.312
-7.976,-140.275
-7.926,-140.239
-7.875,-140.202
-7.774,-140.129
-7.724,-140.092
-7.674,-140.055
-7.623,-140.019
-7.573,-139.982
-7.522,-139.945
-7.472,-139.909
-7.421,-139.872
-7.371,-139.836
-7.270,-139.762
-7.220,-139.726
-7.169,-139.689
-7.119,-139.653
-7.068,-139.616
-7.018,-139.579
-6.967,-139.543
-6.917,-139.506
